iter	Passed	Remaining
0	1	76
1	2	70
2	4	70
3	5	68
4	7	66
5	8	64
6	10	61
7	11	60
8	12	58
9	14	56
10	15	55
11	16	53
12	18	52
13	19	51
14	21	49
15	22	48
16	24	47
17	26	46
18	27	44
19	29	43
20	30	41
21	31	40
22	33	39
23	34	37
24	36	36
25	37	34
26	39	33
27	40	31
28	42	30
29	43	29
30	49	30
31	51	29
32	53	27
33	55	26
34	57	24
35	59	23
36	61	21
37	63	20
38	65	18
39	67	16
40	69	15
41	72	13
42	74	12
43	76	10
44	78	8
45	80	7
46	82	5
47	84	3
48	86	1
49	88	0
