date,open,high,low,close,volume
2019-01-01 00:00:00,130.72,134.0,130.71,133.36,48477.89116
2019-01-01 04:00:00,133.36,135.3,133.01,133.86,47840.61663
2019-01-01 08:00:00,133.89,136.0,132.95,133.57,44048.788629999995
2019-01-01 12:00:00,133.52,133.73,131.0,132.04,41332.8921
2019-01-01 16:00:00,132.04,139.48,132.04,137.63,140922.56793999998
2019-01-01 20:00:00,137.64,140.67,136.71,138.59,107102.54161999999
2019-01-02 00:00:00,138.59,139.58,138.02,138.99,41518.95551
2019-01-02 04:00:00,138.99,149.09,138.96,148.65,279967.60813999997
2019-01-02 08:00:00,148.66,152.48,146.33,150.55,217247.3583
2019-01-02 12:00:00,150.55,152.25,146.95,149.2,156750.9095
2019-01-02 16:00:00,149.21,154.8,148.1,153.67,133717.68488
2019-01-02 20:00:00,153.67,155.37,148.67,151.03,135563.06257
2019-01-03 00:00:00,151.08,153.64,150.52,151.93,98475.361
2019-01-03 04:00:00,151.93,152.26,145.8,148.28,160200.68250999998
2019-01-03 08:00:00,148.28,148.91,144.71,146.85,136328.47389
2019-01-03 12:00:00,146.85,148.0,143.11,144.52,123317.90149
2019-01-03 16:00:00,144.51,148.12,144.07,147.79,85598.59868
2019-01-03 20:00:00,147.79,148.23,143.54,146.81,90975.51964999999
2019-01-04 00:00:00,146.82,154.67,146.12,153.33,166666.57004
2019-01-04 04:00:00,153.33,154.8,149.41,151.82,145053.21532
2019-01-04 08:00:00,151.85,151.99,144.89,145.88,154455.34338
2019-01-04 12:00:00,145.97,148.71,144.66,147.05,95365.36551999999
2019-01-04 16:00:00,147.05,153.98,146.8,151.98,143634.08192000003
2019-01-04 20:00:00,151.98,159.26,150.8,157.4,235553.20898
2019-01-05 00:00:00,157.4,158.75,153.25,154.51,126163.68533
2019-01-05 04:00:00,154.51,155.18,152.15,153.74,88120.31159
2019-01-05 08:00:00,153.74,156.98,153.38,154.64,104442.67315000002
2019-01-05 12:00:00,154.61,156.89,152.2,155.5,124923.22131000001
2019-01-05 16:00:00,155.52,156.57,151.2,154.07,97319.03715
2019-01-05 20:00:00,154.08,154.11,147.51,149.55,146236.71834999998
2019-01-06 00:00:00,149.52,151.52,148.95,150.47,61894.76033
2019-01-06 04:00:00,150.46,153.0,149.02,151.73,81029.63023000001
2019-01-06 08:00:00,151.72,153.24,150.1,151.1,75390.9382
2019-01-06 12:00:00,151.14,157.4,150.26,154.7,183865.36717999997
2019-01-06 16:00:00,154.71,155.53,152.56,152.8,86568.38853000001
2019-01-06 20:00:00,152.77,155.48,151.7,152.83,82421.21832
2019-01-07 00:00:00,152.84,153.87,152.55,153.28,40695.24184
2019-01-07 04:00:00,153.27,154.0,148.33,150.2,107883.59
2019-01-07 08:00:00,150.21,152.4,149.8,151.45,60987.84199
2019-01-07 12:00:00,151.55,152.1,149.15,151.24,65995.32213
2019-01-07 16:00:00,151.24,151.86,147.86,148.65,71792.24013
2019-01-07 20:00:00,148.64,150.64,145.2,146.69,78338.89656
2019-01-08 00:00:00,146.72,147.48,145.78,146.96,55114.07016
2019-01-08 04:00:00,146.97,148.3,146.26,148.06,70077.11173
2019-01-08 08:00:00,148.07,151.65,147.52,149.66,106586.87437
2019-01-08 12:00:00,149.66,151.63,147.26,147.86,91373.58688
2019-01-08 16:00:00,147.86,148.84,147.0,148.0,40367.44843
2019-01-08 20:00:00,148.02,151.5,146.77,150.67,73437.54936
2019-01-09 00:00:00,150.67,151.03,149.08,149.6,49395.18103
2019-01-09 04:00:00,149.55,150.37,149.03,149.48,33556.58634
2019-01-09 08:00:00,149.48,150.58,147.5,147.85,56758.74929
2019-01-09 12:00:00,147.88,149.25,147.41,148.46,36182.28943
2019-01-09 16:00:00,148.47,149.9,147.07,148.44,55456.43714
2019-01-09 20:00:00,148.45,149.45,147.91,148.56,30030.782570000003
2019-01-10 00:00:00,148.6,148.71,133.1,135.51,174447.39337
2019-01-10 04:00:00,135.4,135.9,126.99,129.88,255593.39336000002
2019-01-10 08:00:00,129.88,131.61,126.3,129.6,102339.05868999999
2019-01-10 12:00:00,129.57,129.86,122.07,123.6,154924.76904
2019-01-10 16:00:00,123.59,127.1,121.0,125.47,148155.27391
2019-01-10 20:00:00,125.44,127.36,122.2,125.32,80243.49142
2019-01-11 00:00:00,125.33,126.46,124.18,126.24,84820.98904
2019-01-11 04:00:00,126.24,127.12,120.08,121.95,106327.73056
2019-01-11 08:00:00,121.96,125.0,120.59,124.63,108675.19328
2019-01-11 12:00:00,124.67,126.45,123.24,124.9,83386.40051
2019-01-11 16:00:00,124.89,125.55,122.16,122.63,64513.01773
2019-01-11 20:00:00,122.65,125.31,121.5,124.28,69551.82819
2019-01-12 00:00:00,124.28,125.81,123.61,123.92,59978.04686
2019-01-12 04:00:00,123.93,125.33,123.25,124.28,40995.405009999995
2019-01-12 08:00:00,124.25,126.19,122.7,124.84,54410.509430000006
2019-01-12 12:00:00,124.84,124.99,122.75,123.98,38767.166719999994
2019-01-12 16:00:00,123.95,125.31,122.0,122.78,48582.029480000005
2019-01-12 20:00:00,122.78,123.54,122.12,123.25,40612.857789999995
2019-01-13 00:00:00,123.25,123.66,122.36,122.93,25556.9201
2019-01-13 04:00:00,122.92,123.48,122.55,122.91,20403.09088
2019-01-13 08:00:00,122.97,124.25,121.71,122.27,51281.768690000004
2019-01-13 12:00:00,122.28,122.54,113.0,113.39,180607.65748999998
2019-01-13 16:00:00,113.39,114.68,111.87,113.97,111922.54075
2019-01-13 20:00:00,113.96,116.5,113.26,115.77,61692.03624
2019-01-14 00:00:00,115.78,116.7,115.51,116.6,47754.13929
