date,open,high,low,close,volume
2019-01-01 00:00:00,3690.0,3720.0,3685.78,3703.56,3346.849726
2019-01-01 04:00:00,3703.63,3732.0,3696.14,3713.07,3200.7198319999998
2019-01-01 08:00:00,3713.07,3756.94,3684.21,3698.53,3324.094679
2019-01-01 12:00:00,3698.28,3701.68,3642.0,3659.41,3089.291395
2019-01-01 16:00:00,3659.56,3730.01,3659.56,3711.2,4906.805930999999
2019-01-01 20:00:00,3712.85,3810.16,3706.43,3783.28,7404.855783
2019-01-02 00:00:00,3783.28,3796.22,3750.45,3758.53,2851.463847
2019-01-02 04:00:00,3758.53,3800.0,3755.4,3788.0,6156.138405
2019-01-02 08:00:00,3788.22,3839.63,3777.82,3811.24,7491.230337
2019-01-02 12:00:00,3812.17,3865.72,3785.75,3828.87,7425.687505
2019-01-02 16:00:00,3827.22,3876.0,3801.14,3862.12,5345.997734999999
2019-01-02 20:00:00,3861.62,3882.14,3821.14,3833.47,5901.476151
2019-01-03 00:00:00,3833.69,3850.0,3805.0,3820.53,3250.9655860000003
2019-01-03 04:00:00,3821.81,3837.52,3783.0,3811.52,5228.799659
2019-01-03 08:00:00,3810.61,3823.0,3787.29,3796.7,5178.2289519999995
2019-01-03 12:00:00,3796.79,3811.89,3730.0,3757.89,7659.076475
2019-01-03 16:00:00,3757.58,3782.69,3740.11,3773.79,3825.2805550000003
2019-01-03 20:00:00,3773.42,3776.89,3730.0,3758.65,3149.743784
2019-01-04 00:00:00,3759.33,3797.52,3752.41,3783.02,4660.877535
2019-01-04 04:00:00,3783.34,3800.0,3756.48,3775.48,4845.751327
2019-01-04 08:00:00,3775.46,3777.77,3703.62,3717.14,6602.8724
2019-01-04 12:00:00,3715.58,3754.0,3703.57,3730.0,4428.322504999999
2019-01-04 16:00:00,3730.41,3823.64,3729.02,3790.98,5627.155527000001
2019-01-04 20:00:00,3792.35,3838.7,3783.25,3811.88,6749.837304000001
2019-01-05 00:00:00,3813.16,3840.99,3792.0,3799.45,5824.69034
2019-01-05 04:00:00,3799.71,3804.99,3770.0,3787.94,3185.5289620000003
2019-01-05 08:00:00,3788.79,3812.63,3778.01,3787.45,4543.1557809999995
2019-01-05 12:00:00,3787.55,3818.51,3775.0,3809.02,5635.137710000001
2019-01-05 16:00:00,3810.0,3820.0,3751.0,3786.62,4450.337751
2019-01-05 20:00:00,3786.62,3792.12,3740.0,3771.82,4489.322452
2019-01-06 00:00:00,3771.57,3783.55,3760.58,3772.22,2141.682017
2019-01-06 04:00:00,3772.34,3812.02,3760.0,3796.99,3793.3698560000003
2019-01-06 08:00:00,3796.42,3820.82,3785.0,3801.35,4949.51529
2019-01-06 12:00:00,3802.0,4027.71,3800.24,3989.09,13756.670982
2019-01-06 16:00:00,3990.0,4015.0,3953.53,3970.36,7020.109161
2019-01-06 20:00:00,3970.99,4017.9,3970.03,3987.2,5782.005687999999
2019-01-07 00:00:00,3987.04,4001.77,3980.08,3990.78,3302.1716690000003
2019-01-07 04:00:00,3990.76,4015.0,3921.53,3959.35,9195.001794
2019-01-07 08:00:00,3959.35,4000.0,3952.07,3985.46,3874.889119
2019-01-07 12:00:00,3985.48,3994.98,3941.0,3977.89,6065.559796
2019-01-07 16:00:00,3977.0,3989.35,3951.55,3964.81,4086.424993
2019-01-07 20:00:00,3965.61,3989.0,3922.0,3949.16,4988.212097
2019-01-08 00:00:00,3949.0,3965.66,3936.26,3958.56,4541.881427
2019-01-08 04:00:00,3959.59,3982.25,3946.09,3980.69,5296.687764
2019-01-08 08:00:00,3981.81,4039.0,3967.93,4008.81,8556.470954999999
2019-01-08 12:00:00,4008.81,4069.8,3938.82,3968.46,10830.599948
2019-01-08 16:00:00,3969.42,3985.8,3952.3,3967.83,2967.280019
2019-01-08 20:00:00,3967.83,3999.89,3903.0,3980.64,8062.774266
2019-01-09 00:00:00,3981.89,4002.0,3977.42,3986.63,3519.970227
2019-01-09 04:00:00,3986.44,4000.0,3971.11,3982.77,4020.368375
2019-01-09 08:00:00,3982.53,4006.81,3941.0,3951.22,6420.856879
2019-01-09 12:00:00,3951.22,3977.93,3942.39,3971.38,4584.1460179999995
2019-01-09 16:00:00,3970.06,3990.0,3955.0,3967.4,4187.6940700000005
2019-01-09 20:00:00,3968.59,3993.46,3961.88,3981.0,3507.494623
2019-01-10 00:00:00,3981.0,3996.01,3731.01,3781.31,14744.421069
2019-01-10 04:00:00,3779.63,3784.73,3715.65,3736.45,12289.01449
2019-01-10 08:00:00,3735.46,3750.0,3707.07,3726.32,7358.792265
2019-01-10 12:00:00,3726.32,3735.65,3540.0,3573.78,13772.258973
2019-01-10 16:00:00,3573.78,3609.21,3540.33,3583.43,7085.099517999999
2019-01-10 20:00:00,3583.43,3617.04,3557.52,3579.76,6203.976654
2019-01-11 00:00:00,3579.78,3590.0,3546.36,3584.48,5800.097419999999
2019-01-11 04:00:00,3584.76,3635.0,3562.0,3586.06,6603.927942
2019-01-11 08:00:00,3586.45,3612.0,3569.16,3598.72,5715.699482
2019-01-11 12:00:00,3599.79,3620.24,3582.5,3605.88,4971.116659
2019-01-11 16:00:00,3605.88,3658.0,3571.43,3578.85,5321.967816
2019-01-11 20:00:00,3578.85,3618.19,3465.0,3594.88,9579.202367
2019-01-12 00:00:00,3594.0,3603.19,3567.31,3571.74,2628.004606
2019-01-12 04:00:00,3572.74,3585.71,3559.5,3575.89,2780.873517
2019-01-12 08:00:00,3575.91,3605.0,3530.0,3592.5,4767.740962
2019-01-12 12:00:00,3592.25,3600.0,3572.19,3591.92,3454.579734
2019-01-12 16:00:00,3591.92,3612.39,3571.14,3580.01,2685.560125
2019-01-12 20:00:00,3580.43,3590.71,3563.01,3588.24,3507.818262
2019-01-13 00:00:00,3588.24,3598.88,3575.84,3580.94,1908.36209
2019-01-13 04:00:00,3581.93,3588.36,3571.7,3584.09,1519.0076439999998
2019-01-13 08:00:00,3584.91,3611.1,3560.26,3572.18,3417.843545
2019-01-13 12:00:00,3570.55,3577.01,3441.3,3462.75,12062.788140999997
2019-01-13 16:00:00,3463.0,3497.98,3454.0,3470.51,4435.527432
2019-01-13 20:00:00,3469.83,3499.9,3457.2,3496.0,3533.066755
